leto,mesto,drzava,pesem,izvajalec,tocke,tocke_publike,tocke_zirije,startna_stevilka
1981,18,Portugal,Play-back,Carlos Paião,9,,,15
1981,20,Norway,Aldri i livet,Finn Kalvik,0,,,13
1982,1,Germany,Ein bißchen Frieden,Nicole,161,,,18
1982,2,Israel,Hora,Avi Toledano,100,,,15
1982,3,Switzerland,Amour on t'aime,Arlette Zola,97,,,7
1982,4,Belgium,Si tu aimes ma musique,Stella,96,,,11
1982,5,Cyprus,Mono i agapi,Anna Vissi,85,,,8
1982,6,Luxembourg,Cours après le temps,Svetlana,78,,,2
1982,7,United Kingdom,One Step Further,Bardo,76,,,4
1982,8,Sweden,Dag efter dag,Chips,67,,,9
1982,9,Austria,Sonntag,Mess,57,,,10
1982,10,Spain,Él,Lucía,52,,,12
1982,11,Ireland,"Here Today, Gone Tomorrow",The Duskeys,49,,,17
1982,12,Norway,Adieu,Jahn Teigen & Anita Skorgan,40,,,3
1982,13,Portugal,Bem bom,Doce,32,,,1
1982,14,Yugoslavia,"Halo, halo",Aska,21,,,14
1982,15,Turkey,Hani?,Neco,20,,,5
1982,16,Netherlands,Jij en ik,Bill van Dijk,8,,,16
1982,17,Denmark,Video video,Brixx,5,,,13
1982,18,Finland,Nuku pommiin,Kojo,0,,,6
1983,1,Luxembourg,Si la vie est cadeau,Corinne Hermès,142,,,20
1983,2,Israel,Hi,Ofra Haza,136,,,16
1983,3,Sweden,Främling,Carola Häggkvist,126,,,4
1983,4,Yugoslavia,Džuli,Danijel,125,,,12
1983,5,Germany,Rücksicht,Hoffmann und Hoffmann,94,,,14
1983,6,United Kingdom,I'm Never Giving Up,Sweet Dreams,79,,,3
1983,7,Netherlands,Sing Me a Song,Bernadette,66,,,11
1983,8,France,Vivre,Guy Bonnet,56,,,1
1983,9,Norway,Do-Re-Mi,Jahn Teigen,53,,,2
1983,9,Austria,Hurricane,Westend,53,,,18
1983,11,Italy,Per Lucia,Riccardo Fogli,41,,,5
1983,11,Finland,Fantasiaa,Ami Aspelund,41,,,9
1983,13,Portugal,Esta balada que te dou,Armando Gama,33,,,17
1983,14,Greece,Mou les,Christie Stassinopoulou,32,,,10
1983,15,Switzerland,Io così non ci sto,Mariella Farré,28,,,8
1983,16,Cyprus,I agapi akoma zi,Stavros & Constantina,26,,,13
1983,17,Denmark,Kloden drejer,Gry Johansen,16,,,15
1983,18,Belgium,Rendez-vous,Pas de Deux,13,,,19
1983,19,Turkey,Opera,Çetin Alp and the Short Wave,0,,,6
1983,19,Spain,¿Quién maneja mi barca?,Remedios Amaya,0,,,7
1984,1,Sweden,Diggi-loo Diggy-ley,Herrey's,145,,,1
1984,2,Ireland,Terminal 3,Linda Martin,137,,,9
1984,3,Spain,"Lady, Lady",Bravo,106,,,4
1984,4,Denmark,Det' lige det,Hot Eyes,101,,,10
1984,5,Belgium,Avanti la vie,Jacques Zegers,70,,,8
1984,5,Italy,I treni di Tozeur,Alice & Battiato,70,,,18
1984,7,United Kingdom,Love Games,Belle and the Devotions,63,,,6
1984,8,France,Autant d'amoureux que d'étoiles,Annick Thoumazeau,61,,,3
1984,9,Finland,Hengaillaan,Kirka,46,,,16
1984,10,Luxembourg,100% d'amour,Sophie Carle,39,,,2
1984,11,Portugal,Silêncio e tanta gente,Maria Guinot,38,,,19
1984,12,Turkey,Halay,"Beş Yıl Önce, On Yıl Sonra",37,,,15
1984,13,Netherlands,Ik hou van jou,Maribelle,34,,,11
1984,13,Germany,Aufrecht geh'n,Mary Roos,34,,,14
1984,15,Cyprus,Anna Maria Lena,Andy Paul,31,,,7
1984,16,Switzerland,Welche Farbe hat der Sonnenschein?,Rainy Day,30,,,17
1984,17,Norway,Lenge leve livet,Dollie de Luxe,29,,,5
1984,18,Yugoslavia,Ciao amore,Ida & Vlado,26,,,12
1984,19,Austria,Einfach weg,Anita,5,,,13
1985,1,Norway,La det swinge,Bobbysocks,123,,,13
1985,2,Germany,Für alle,Wind,105,,,10
1985,3,Sweden,Bra vibrationer,Kikki Danielsson,103,,,16
1985,4,United Kingdom,Love Is...,Vikki,100,,,14
1985,5,Israel,"Olé, Olé",Izhar Cohen,93,,,11
1985,6,Ireland,Wait Until the Weekend Comes,Maria Christian,91,,,1
1985,7,Italy,"Magic, oh magic",Al Bano and Romina Power,78,,,12
1985,8,Austria,Kinder dieser Welt,Gary Lux,60,,,17
1985,9,Finland,Eläköön elämä,Sonja Lumme,58,,,2
1985,10,France,Femme dans ses rêves aussi,Roger Bens,56,,,6
1985,11,Denmark,Sku' du spørg' fra no'en,Hot Eyes,41,,,4
1985,12,Switzerland,"Piano, piano",Mariella Farré & Pino Gasparini,39,,,15
1985,13,Luxembourg,"Children, Kinder, Enfants","Margo, Franck, Diane, Ireen, Malcolm & Chris",37,,,18
1985,14,Spain,La fiesta terminó,Paloma San Basilio,36,,,5
1985,14,Turkey,Didai didai dai,MFÖ,36,,,7
1985,16,Cyprus,To katalava arga,Lia Vishy,15,,,3
1985,16,Greece,Miazoume,Takis Biniaris,15,,,19
1985,18,Portugal,"Penso em ti, eu sei",Adelaide,9,,,9
1985,19,Belgium,Laat me nu gaan,Linda Lepomme,7,,,8
1986,1,Belgium,J'aime la vie,Sandra Kim,176,,,13
1986,2,Switzerland,Pas pour moi,Daniela Simons,140,,,10
1986,3,Luxembourg,L'amour de ma vie,Sherisse Laurence,117,,,1
1986,4,Ireland,You Can Count On Me,Luv Bug,96,,,12
1986,5,Sweden,E' de' det här du kallar kärlek?,Lasse Holm & Monica Törnell,78,,,17
1986,6,Denmark,Du er fuld af løgn,Lise Haavik & Trax,77,,,18
1986,7,United Kingdom,Runner in the Night,Ryder,72,,,5
1986,8,Germany,Über die Brücke geh'n,Ingrid Peters,62,,,14
1986,9,Turkey,Halley,Klips ve Onlar,53,,,8
1986,10,Spain,Valentino,Cadillac,51,,,9
1986,11,Yugoslavia,Željo moja,Doris Dragović,49,,,2
1986,12,Norway,Romeo,Ketil Stokkan,44,,,4
1986,13,Netherlands,Alles heeft ritme,Frizzle Sizzle,40,,,7
1986,14,Portugal,Não sejas mau para mim,Dora,28,,,20
1986,15,Finland,Päivä kahden ihmisen,Kari Kuivalainen,22,,,19
1986,16,Iceland,Gleðibankinn,Icy,19,,,6
1986,17,France,Européennes,Cocktail Chic,13,,,3
1986,18,Austria,Die Zeit ist einsam,Timna Brauer,12,,,16
1986,19,Israel,Yavoh yom,Moti Galadi & Sarai Tzuriel,7,,,11
1986,20,Cyprus,Tora zo,Elpida,4,,,15
1987,1,Ireland,Hold Me Now,Johnny Logan,172,,,20
1987,2,Germany,Laß die Sonne in dein Herz,Wind,141,,,16
1987,3,Italy,Gente di mare,Umberto Tozzi and Raf,103,,,7
1987,4,Yugoslavia,Ja sam za ples,Novi Fosili,92,,,21
1987,5,Netherlands,Rechtop in de wind,Marcha,83,,,12
1987,5,Denmark,En lille melodi,Anne-Cathrine Herdorf,83,,,19
1987,7,Cyprus,Aspro mavro,Alexia,80,,,17
1987,8,Israel,Shir habatlanim,Datner & Kushnir,73,,,2
1987,9,Norway,Mitt liv,Kate Gulbrandsen,65,,,1
1987,10,Greece,Stop!,Bang,64,,,11
1987,11,Belgium,Soldiers of Love,Liliane Saint-Pierre,56,,,5
1987,12,Sweden,Boogaloo,Lotta Engberg,50,,,6
1987,13,United Kingdom,Only the Light,Rikki,47,,,14
1987,14,France,Les mots d'amour n'ont pas de dimanche,Christine Minier,44,,,15
1987,15,Finland,Sata salamaa,Vicky Rosti,32,,,18
1987,16,Iceland,Hægt og hljótt,Halla Margarét,28,,,4
1987,17,Switzerland,Moitié moitié,Carole Rich,26,,,22
1987,18,Portugal,Neste barco à vela,Nevada,15,,,8
1987,19,Spain,No estás solo,Patricia Kraus,10,,,9
1987,20,Austria,Nur noch Gefühl,Gary Lux,8,,,3
1987,21,Luxembourg,Amour amour,Plastic Bertrand,4,,,13
1987,22,Turkey,Şarkım Sevgi Üstüne,Seyyal Taner & Lokomotif,0,,,10
1988,1,Switzerland,Ne partez pas sans moi,Céline Dion,137,,,9
1988,2,United Kingdom,Go,Scott Fitzgerald,136,,,4
1988,3,Denmark,Ka' du se hva' jeg sa'?,Kirsten & Søren,92,,,13
1988,4,Luxembourg,Croire,Lara Fabian,90,,,17
1988,5,Norway,For vår jord,Karoline Krüger,88,,,15
1988,6,Yugoslavia,Mangup,Srebrna Krila,87,,,21
1988,7,Israel,Ben Adam,Yardena Arazi,85,,,8
1988,8,Ireland,Take Him Home,Jump the Gun,79,,,10
1988,9,Netherlands,Shangri-La,Gerard Joling,70,,,7
1988,10,France,Chanteur de charme,Gérard Lenorman,64,,,19
1988,11,Spain,La chica que yo quiero (Made in Spain),La Década,58,,,6
1988,12,Sweden,Stad i ljus,Tommy Körberg,52,,,2
1988,12,Italy,Ti scrivo,Luca Barbarossa,52,,,18
1988,14,Germany,Lied für einen Freund,Maxi & Chris Garden,48,,,11
1988,15,Turkey,Sufi,MFÖ,37,,,5
1988,16,Iceland,Sókrates,Beathoven,20,,,1
1988,17,Greece,Kloun,Aphroditi Fryda,10,,,14
1988,18,Belgium,Laissez briller le soleil,Reynaert,5,,,16
1988,18,Portugal,Voltarei,Dora,5,,,20
1988,20,Finland,Nauravat silmät muistetaan,Boulevard,3,,,3
1988,21,Austria,"Lisa, Mona Lisa",Wilfried,0,,,12
1989,1,Yugoslavia,Rock Me,Riva,137,,,22
1989,2,United Kingdom,Why Do I Always Get it Wrong?,Live Report,130,,,7
1989,3,Denmark,Vi maler byen rød,Birthe Kjær,111,,,12
1989,4,Sweden,En dag,Tommy Nilsson,110,,,10
1989,5,Austria,Nur ein Lied,Thomas Forstner,97,,,13
1989,6,Spain,Nacida para amar,Nina,88,,,16
1989,7,Finland,La dolce vita,Anneli Saaristo,76,,,14
1989,8,France,J'ai volé la vie,Nathalie Pâque,60,,,15
1989,9,Italy,Avrei voluto,Anna Oxa & Fausto Leali,56,,,1
1989,9,Greece,To diko sou asteri,Marianna,56,,,19
1989,11,Cyprus,Apopse as vrethoume,Fanny Polymeri and Yiannis Savvidakis,51,,,17
1989,12,Israel,Derech ha'melech,Gili & Galit,50,,,2
1989,13,Switzerland,Viver senza tei,Furbaz,47,,,18
1989,14,Germany,Flieger,Nino de Angelo,46,,,21
1989,15,Netherlands,Blijf zoals je bent,Justine Pelmelay,45,,,4
1989,16,Portugal,Conquistador,Da Vinci,39,,,9
1989,17,Norway,Venners nærhet,Britt Synnøve Johansen,30,,,8
1989,18,Ireland,The Real Me,Kiev Connolly and the Missing Passengers,21,,,3
1989,19,Belgium,Door de wind,Ingeborg,13,,,6
1989,20,Luxembourg,Monsieur,Park Café,8,,,11
1989,21,Turkey,Bana bana,Pan,5,,,5
1989,22,Iceland,Það sem enginn sér,Daniel,0,,,20
1990,1,Italy,Insieme: 1992,Toto Cutugno,149,,,19
1990,2,France,White and Black Blues,Joelle Ursull,132,,,14
1990,2,Ireland,Somewhere In Europe,Liam Reilly,132,,,17
1990,4,Iceland,Eitt lag enn,Stjórnin,124,,,8
1990,5,Spain,Bandido,Azúcar Moreno,96,,,1
1990,6,United Kingdom,Give A Little Love Back To The World,Emma,87,,,7
1990,7,Yugoslavia,Hajde da ludujemo,Tajči,81,,,15
1990,8,Denmark,"Hallo, hallo",Lonnie Devantier,64,,,11
1990,9,Germany,Frei zu leben,Chris Kempers & Daniel Kovac,60,,,13
1990,10,Austria,Keine Mauern mehr,Simone,58,,,20
1990,11,Switzerland,Musik klingt in die Welt hinaus,Egon Egemann,51,,,12
1990,12,Belgium,Macédomienne,Philippe Lafontaine,46,,,3
1990,13,Luxembourg,Quand je te rêve,Céline Carzo,38,,,6
1990,14,Cyprus,Milas Poli,Haris Anastasiou,36,,,21
1990,15,Netherlands,Ik wil alles met je delen,Maywood,25,,,5
1990,16,Sweden,Som en vind,Edin-Ådahl,24,,,18
1990,17,Turkey,Gözlerinin Hapsindeyim,Kayahan,21,,,4
1990,18,Israel,Shara barechovot,Rita,16,,,10
1990,19,Greece,Horis skopo,Christos Callow & Wave,11,,,2
1990,20,Portugal,Há sempre alguém,Nucha,9,,,16
1990,21,Norway,Brandenburger Tor,Ketil Stokkan,8,,,9
1990,21,Finland,Fri?,Beat,8,,,22
1991,1,Sweden,Fångad av en stormvind,Carola,146,,,8
1991,2,France,C'est le dernier qui a parlé qui a raison,Amina,146,,,9
1991,3,Israel,Kan,Duo Datz,139,,,15
1991,4,Spain,Bailar Pegados,Sergio Dalma,119,,,19
1991,5,Switzerland,Canzone per te,Sandra Simó,118,,,5
1991,6,Malta,Could It Be,Paul Giordimaina & Georgina,106,,,3
1991,7,Italy,Comme è ddoce 'o mare,Peppino di Capri,89,,,22
1991,8,Portugal,Lusitana paixão,Dulce,62,,,12
1991,9,Cyprus,S.O.S.,Elena Patroclou,60,,,21
1991,10,Ireland,Could It Be That I'm In Love,Kim Jackson,47,,,11
1991,10,United Kingdom,A Message To Your Heart,Samantha Janus,47,,,20
1991,12,Turkey,İki dakika,"İzel Çeliköz, Reyhan Karaca & Can Uğurluer",44,,,10
1991,13,Greece,I Anixi,Sofia Vossou,36,,,4
1991,14,Luxembourg,Un baiser volé,Sarah Bray,29,,,7
1991,15,Iceland,Nina,Stefán & Eyfi,26,,,2
1991,16,Belgium,Geef Het Op,Clouseau,23,,,18
1991,17,Norway,Mrs. Thompson,Just 4 Fun,14,,,14
1991,18,Germany,Dieser Traum darf niemals sterben,Atlantis 2000,10,,,17
1991,19,Denmark,Lige der hvor hjertet slår,Anders Frandsen,8,,,13
1991,20,Finland,Hullu yö,Kaija,6,,,16
1991,21,Yugoslavia,Brazil,Baby Doll,1,,,1
1991,22,Austria,Venedig im Regen,Thomas Forstner,0,,,6
1992,1,Ireland,Why Me?,Linda Martin,155,,,17
1992,2,United Kingdom,One Step Out Of Time,Michael Ball,139,,,16
1992,3,Malta,Little Child,Mary Spiteri,123,,,10
1992,4,Italy,Rapsodia,Mia Martini,111,,,19
1992,5,Greece,Olou Tou Kosmou tin Elpida,Cleopatra,94,,,5
1992,6,Israel,Ze rak sport,Dafna,85,,,3
1992,7,Iceland,Nei eða já,Heart 2 Heart,80,,,11
1992,8,France,Monté la riviè,Kali,73,,,6
1992,9,Netherlands,Wijs me de weg,Humphrey Campbell,67,,,23
1992,10,Austria,Zusammen geh'n,Tony Wegas,63,,,15
1992,11,Cyprus,Teriazoume,Evridiki,57,,,9
1992,12,Denmark,Alt det som ingen ser,Kenny & Lotte,47,,,18
1992,13,Yugoslavia,Ljubim te pesmama,Extra Nena,44,,,20
1992,14,Spain,Todo esto es la música,Serafin,37,,,1
1992,15,Switzerland,Mister Music Man,Daisy Auvray,32,,,13
1992,16,Germany,Träume sind für alle da,Wind,27,,,22
1992,17,Portugal,Amor d'água fresca,Dina,26,,,8
1992,18,Norway,Visjoner,Merethe Trøan,23,,,21
1992,19,Turkey,Yaz bitti,Aylin Vatankoş,17,,,4
1992,20,Belgium,"Nous, on veut des violons",Morgane,11,,,2
1992,21,Luxembourg,Sou fräi,Marion Welter and Kontinent,10,,,14
1992,22,Sweden,I morgon är en annan dag,Christer Björkman,9,,,7
1992,23,Finland,Yamma yamma,Pave,4,,,12
1993,1,Ireland,In Your Eyes,Niamh Kavanagh,187,,,14
1993,2,United Kingdom,Better The Devil You Know,Sonia,164,,,19
1993,3,Switzerland,"Moi, tout simplement",Annie Cotton,148,,,4
1993,4,France,Mama Corsica,Patrick Fiori,121,,,12
1993,5,Norway,Alle mine tankar,Silje Vige,120,,,25
1993,6,Netherlands,Vrede,Ruth Jacott,92,,,20
1993,7,Sweden,Eloise,Arvingarna,89,,,13
1993,8,Malta,This Time,William Mangion,69,,,8
1993,9,Greece,"Ellada, hora tu fotos",Kaiti Garbi,64,,,6
1993,10,Portugal,A cidade até ser dia,Anabela,60,,,11
1993,11,Spain,Hombres,Eva Santamaria,58,,,22
1993,12,Italy,Sole d'Europa,Enrico Ruggeri,45,,,1
1993,13,Iceland,Þá veistu svarið,Inga,42,,,9
1993,14,Austria,Maria Magdalena,Tony Wegas,32,,,10
1993,15,Croatia,Don't Ever Cry,Put,31,,,21
1993,16,Bosnia & Herzegovina,Sva bol svijeta,Fazla,27,,,18
1993,17,Finland,Tule luo,Katri-Helena,20,,,17
1993,18,Germany,Viel zu weit,Münchener Freiheit,18,,,3
1993,19,Cyprus,Mi stamatas,Kyriakos Zymboulakis & Demos Van Beke,17,,,23
1993,20,Luxembourg,Donne-moi une chance,Modern Times,11,,,15
1993,21,Turkey,Esmer yarim,"Burak Aydos, Baybora & Serter Öztürk",10,,,2
1993,22,Denmark,Under stjernerne på himlen,Tommy Seebach Band,9,,,5
1993,22,Slovenia,Tih deževen dan,1X Band,9,,,16
1993,24,Israel,Shiru,Lehakat Shiru,4,,,24
1993,25,Belgium,Iemand als jij,Barbara Dex,3,,,7
1994,1,Ireland,Rock 'n' Roll Kids,Paul Harrington & Charlie McGettigan,226,,,3
1994,2,Poland,To nie ja,Edyta Górniak,166,,,24
1994,3,Germany,Wir geben 'ne Party,MeKaDo,128,,,14
1994,4,Hungary,Kinek mondjam el vétkeimet,Friderika Bayer,122,,,22
1994,5,Malta,More Than Love,Moira Stafrace & Christopher Scicluna,97,,,12
1994,6,Norway,Duett,Elisabeth Andreasson & Jan Werner Danielsen,76,,,17
1994,7,France,Je suis un vrai garçon,Nina Morato,74,,,25
1994,8,Portugal,Chamar a música,Sara Tavares,73,,,8
1994,9,Russia,Vechni stranik,Youddiph,70,,,23
1994,10,United Kingdom,We Will Be Free (Lonely Symphony),Frances Ruffelle,63,,,6
1994,11,Cyprus,Ime Anthropos Ke Ego,Evridiki,51,,,4
1994,12,Iceland,Nætur,Sigga,49,,,5
1994,13,Sweden,Stjärnorna,Marie Bergman & Roger Pontare,48,,,1
1994,14,Greece,To Trehantiri,Costas Bigalis and the Sea Lovers,44,,,19
1994,15,Bosnia & Herzegovina,Ostani kraj mene,Alma & Dejan,39,,,18
1994,16,Croatia,Nek' ti bude ljubav sva,Tony Cetinski,27,,,7
1994,17,Austria,Für den Frieden der Welt,Petra Frey,19,,,20
1994,18,Spain,Ella no es ella,Alejandro Abad,17,,,21
1994,19,Switzerland,Sto pregando,Duilio,15,,,9
1994,19,Slovakia,Nekonečná pieseň,Martin Ďurinda & Tublatanka,15,,,15
1994,21,Romania,Dincolo de nori,Dan Bittman,14,,,11
1994,22,Finland,Bye Bye Baby,CatCat,11,,,2
1994,23,Netherlands,Waar is de zon?,Willeke Alberti,4,,,13
1994,24,Estonia,Nagu Merelaine,Silvi Vrait,2,,,10
1994,25,Lithuania,Lopšinė mylimai,Ovidijus Vyšniauskas,0,,,16
1995,1,Norway,Nocturne,Secret Garden,148,,,5
1995,2,Spain,Vuelve conmigo,Anabel Conde,119,,,9
1995,3,Sweden,Se på mig,Jan Johansen,100,,,18
1995,4,France,Il me donne rendez-vous,Nathalie Santamaria,94,,,12
1995,5,Denmark,Fra Mols til Skagen,Aud Wilken,92,,,19
1995,6,Croatia,Nostalgija,Magazin & Lidija,91,,,11
1995,7,Slovenia,Prisluhni mi,Darja Švajger,84,,,20
1995,8,Israel,Amen,Liora,81,,,21
1995,9,Cyprus,Sti Fotia,Alexandros Panayi,79,,,17
1995,10,United Kingdom,Love City Groove,Love City Groove,76,,,15
1995,10,Malta,Keep Me In Mind,Mike Spiteri,76,,,22
1995,12,Greece,Pia prosefhi,Elina Constantopoulou,68,,,23
1995,13,Austria,Die Welt dreht sich verkehrt,Stella Jones,67,,,8
1995,14,Ireland,Dreamin',Eddie Friel,44,,,2
1995,15,Iceland,Núna,Bó Halldórsson,31,,,7
1995,16,Turkey,Sev!,Arzu Ece,21,,,10
1995,17,Russia,Kolybelnaya Dlya Vulkana,Philipp Kirkorov,17,,,6
1995,18,Poland,Sama,Justyna,15,,,1
1995,19,Bosnia & Herzegovina,Dvadeset i prvi vijek,Davor Popović,14,,,4
1995,20,Belgium,La voix est libre,Frédéric Etherlinck,8,,,14
1995,21,Portugal,Baunilha e chocolate,Tó Cruz,5,,,16
1995,22,Hungary,Új név egy régi ház falán,Csaba Szigeti,3,,,13
1995,23,Germany,Verliebt in Dich,Stone and Stone,1,,,3
1996,1,Ireland,The Voice,Eimear Quinn,162,,,17
1996,2,Norway,I evighet,Elisabeth Andreasson,114,,,12
1996,3,Sweden,Den vilda,One More Time,100,,,23
1996,4,Croatia,Sveta ljubav,Maja Blagdan,98,,,7
1996,5,Estonia,Kaelakee hääl,Ivo Linna & Maarja-Liis Ilus,94,,,11
1996,6,Portugal,O meu coração não tem cor,Lúcia Moniz,92,,,4
1996,7,Netherlands,De eerste keer,Maxine & Franklin Brown,78,,,15
1996,8,United Kingdom,Ooh...Aah...Just A Little Bit,Gina G,77,,,2
1996,9,Cyprus,Mono gia mas,Constantinos,72,,,5
1996,10,Malta,In A Woman's Heart,Miriam Christine,68,,,6
1996,10,Austria,Weil's dr guat got,George Nußbaumer,68,,,8
